model-1584439783,1584439783,in_sample,0.54,0.2495
model-1584439783,1584439783,in_sample,0.54,0.2473
model-1584439783,1584439783,in_sample,0.54,0.2484
model-1584439913,1584439913.699,0.46,0.2502,0.54,0.2481,0
model-1584439913,1584439913.756,0.41,0.266,0.46,0.2514,0
model-1584439913,1584439913.816,0.58,0.2489,0.46,0.2574,0
model-1584439913,1584439913.873,0.45,0.259,0.46,0.2528,0
model-1584439913,1584439913.929,0.5,0.2512,0.46,0.2506,0
model-1584439913,1584439913.982,0.42,0.2511,0.54,0.2494,0
model-1584439913,1584439914.035,0.52,0.2497,0.54,0.2488,0
model-1584439913,1584439914.086,0.48,0.251,0.54,0.2489,0
model-1584439913,1584439914.141,0.5,0.2501,0.54,0.249,0
model-1584439913,1584439914.189,0.5,0.2501,0.54,0.2492,0
model-1584439913,1584439914.239,0.41,0.2517,0.55,0.2498,0
model-1584439913,1584439914.285,0.46,0.2502,0.46,0.2506,0
model-1584439913,1584439914.332,0.53,0.2496,0.46,0.2517,0
model-1584439913,1584439914.384,0.57,0.2482,0.46,0.2533,0
model-1584439913,1584439914.43,0.51,0.2504,0.46,0.2544,0
model-1584439913,1584439914.475,0.49,0.2524,0.46,0.2538,0
model-1584439913,1584439914.524,0.56,0.2473,0.46,0.2539,0
model-1584439913,1584439914.569,0.43,0.2559,0.46,0.2527,0
model-1584439913,1584439914.62,0.57,0.2474,0.46,0.2521,0
model-1584439913,1584439914.672,0.47,0.2517,0.46,0.2514,0
model-1584439913,1584439914.72,0.47,0.2511,0.46,0.2508,0
model-1584439913,1584439914.764,0.57,0.2483,0.46,0.2505,0
model-1584439913,1584439914.817,0.53,0.2494,0.46,0.2503,0
model-1584439913,1584439914.863,0.51,0.2501,0.46,0.2503,0
model-1584439913,1584439914.908,0.58,0.2481,0.46,0.2504,0
model-1584439913,1584439914.957,0.41,0.2521,0.46,0.2503,0
model-1584439913,1584439915.003,0.46,0.2512,0.46,0.25,0
model-1584439913,1584439915.048,0.59,0.2484,0.46,0.25,0
model-1584439913,1584439915.096,0.49,0.2497,0.46,0.2499,0
model-1584439913,1584439915.142,0.46,0.2496,0.46,0.2495,0
model-1584439913,1584439915.187,0.58,0.248,0.46,0.2493,0
model-1584439913,1584439915.235,0.59,0.2474,0.46,0.2496,0
model-1584439913,1584439915.279,0.47,0.2504,0.46,0.2496,0
model-1584439913,1584439915.324,0.51,0.2492,0.46,0.2494,0
model-1584439913,1584439915.374,0.53,0.2459,0.46,0.2489,0
model-1584439913,1584439915.419,0.52,0.2459,0.46,0.2483,0
model-1584439913,1584439915.464,0.54,0.2461,0.47,0.2476,0
model-1584439913,1584439915.513,0.49,0.2491,0.53,0.2465,0
model-1584439913,1584439915.558,0.55,0.2481,0.58,0.245,0
model-1584439913,1584439915.601,0.55,0.2489,0.66,0.2438,0
model-1584439913,1584439915.656,0.54,0.246,0.63,0.2438,0
model-1584439913,1584439915.701,0.48,0.2498,0.59,0.2451,0
model-1584439913,1584439915.746,0.52,0.2494,0.55,0.2457,0
model-1584439913,1584439915.805,0.52,0.2493,0.55,0.2457,0
model-1584439913,1584439915.852,0.53,0.2463,0.56,0.2456,0
model-1584439913,1584439915.898,0.56,0.2453,0.56,0.245,0
model-1584439913,1584439915.947,0.49,0.2491,0.64,0.244,0
model-1584439913,1584439915.992,0.49,0.2507,0.63,0.2432,0
model-1584439913,1584439916.039,0.49,0.2528,0.64,0.2432,0
model-1584439913,1584439916.089,0.58,0.2455,0.46,0.2435,0
model-1584439913,1584439916.133,0.51,0.2463,0.46,0.2439,0
model-1584439913,1584439916.179,0.43,0.2443,0.46,0.2425,0
model-1584439913,1584439916.228,0.54,0.2405,0.48,0.2417,0
model-1584439913,1584439916.274,0.47,0.2469,0.58,0.2406,0
model-1584439913,1584439916.319,0.54,0.2467,0.62,0.2391,0
model-1584439913,1584439916.369,0.56,0.2421,0.61,0.2381,0
model-1584439913,1584439916.415,0.51,0.2605,0.65,0.2365,0
model-1584439913,1584439916.46,0.56,0.2456,0.65,0.237,0
model-1584439913,1584439916.508,0.61,0.2307,0.65,0.2373,0
model-1584439913,1584439916.554,0.59,0.2427,0.64,0.2373,0
model-1584439913,1584439916.598,0.59,0.2422,0.63,0.2377,0
model-1584439913,1584439916.647,0.5,0.2544,0.63,0.2377,0
model-1584439913,1584439916.696,0.53,0.2445,0.64,0.2369,0
model-1584439913,1584439916.741,0.5,0.2435,0.64,0.2369,0
model-1584439913,1584439916.791,0.6,0.2395,0.63,0.2392,0
model-1584439913,1584439916.836,0.63,0.2471,0.48,0.2421,0
model-1584439913,1584439916.883,0.61,0.242,0.46,0.246,0
model-1584439913,1584439916.935,0.53,0.2438,0.46,0.2478,0
model-1584439913,1584439916.982,0.55,0.2484,0.46,0.2476,0
model-1584439913,1584439917.027,0.46,0.2479,0.46,0.2456,0
model-1584439913,1584439917.075,0.5,0.2442,0.46,0.2441,0
model-1584439913,1584439917.119,0.49,0.2416,0.46,0.2427,0
model-1584439913,1584439917.164,0.52,0.2458,0.47,0.2418,0
model-1584439913,1584439917.213,0.54,0.2542,0.6,0.2414,0
model-1584439913,1584439917.258,0.55,0.2497,0.61,0.2413,0
model-1584439913,1584439917.302,0.53,0.244,0.65,0.2414,0
model-1584439913,1584439917.349,0.48,0.2472,0.65,0.2418,0
model-1584439913,1584439917.394,0.52,0.2456,0.64,0.2421,0
model-1584439913,1584439917.438,0.54,0.2505,0.64,0.2422,0
model-1584439913,1584439917.49,0.58,0.2466,0.63,0.2422,0
